filename,city,lat,lon,date,season,sharpness,pano_id,run_id,source
62-TwervDEZaN8-E7ntcOg_42p97948_-81p40838_201209_fall_sharp.jpg,london_on,42.9794847976576,-81.4083818144726,2012-09,fall,sharp,62-TwervDEZaN8-E7ntcOg,20250711-025525,original
pyLrqt31BhgTtB2PD_9EEQ_42p95771_-81p31818_202108_summer_sharp.jpg,london_on,42.95770749768482,-81.31818113614352,2021-08,summer,sharp,pyLrqt31BhgTtB2PD_9EEQ,20250711-025535,original
O0OzgLkES5zSseGS5hMULA_42p97948_-81p40839_201309_fall_sharp.jpg,london_on,42.97947950907,-81.40838885832098,2013-09,fall,sharp,O0OzgLkES5zSseGS5hMULA,20250711-025525,original
TjKK3R9xoY_fhafYsTdf4g_42p95798_-81p31808_202108_summer_sharp.jpg,london_on,42.95797694800334,-81.3180784597597,2021-08,summer,sharp,TjKK3R9xoY_fhafYsTdf4g,20250711-025535,original
z8mlLcuIXSA6NtZiiZjugQ_42p97947_-81p40840_201406_summer_sharp.jpg,london_on,42.97947355335912,-81.40839682457728,2014-06,summer,sharp,z8mlLcuIXSA6NtZiiZjugQ,20250711-025525,original
-QBr_KsEIhBLe5TM4YiSLQ_42p96898_-81p34376_201110_fall_sharp.jpg,london_on,42.96897517709523,-81.34376391922842,2011-10,fall,sharp,-QBr_KsEIhBLe5TM4YiSLQ,20250711-030112,original
E0vQVjDYre8pvUcl8y5i2w_42p95780_-81p31816_202108_summer_sharp.jpg,london_on,42.95780057831747,-81.31816493292936,2021-08,summer,sharp,E0vQVjDYre8pvUcl8y5i2w,20250711-025535,original
ZdrooJskZy0M1a-eLdXEjQ_42p97947_-81p40840_201806_summer_sharp.jpg,london_on,42.9794738837607,-81.40839632144532,2018-06,summer,sharp,ZdrooJskZy0M1a-eLdXEjQ,20250711-025525,original
MOH7Ztlra4mgt3J_AdZXDA_42p96898_-81p34374_201210_fall_sharp.jpg,london_on,42.96898253941599,-81.34373571994422,2012-10,fall,sharp,MOH7Ztlra4mgt3J_AdZXDA,20250711-030112,original
DBnJDGg8NaTX4V9UoBjruQ_42p95792_-81p31815_202108_summer_sharp.jpg,london_on,42.95792011129981,-81.31814679875818,2021-08,summer,sharp,DBnJDGg8NaTX4V9UoBjruQ,20250711-025535,original
9r65qS4wpcobgieJG858iA_42p97925_-81p40870_202307_summer_sharp.jpg,london_on,42.97924743295528,-81.4086972776134,2023-07,summer,sharp,9r65qS4wpcobgieJG858iA,20250711-025525,original
4tM04h8DTB8g2p_0sGyntw_42p96899_-81p34372_201406_summer_blurry.jpg,london_on,42.96898566727224,-81.34372355060705,2014-06,summer,blurry,4tM04h8DTB8g2p_0sGyntw,20250711-030112,original
Q3pbtW4QpsQ81hRldaZ3xA_42p95797_-81p31796_202108_summer_sharp.jpg,london_on,42.95796659326076,-81.31796377771627,2021-08,summer,sharp,Q3pbtW4QpsQ81hRldaZ3xA,20250711-025535,original
pQkJGtZp6zC9gd5vzBOtPQ_42p97974_-81p40804_202307_summer_sharp.jpg,london_on,42.9797431794516,-81.40803834221751,2023-07,summer,sharp,pQkJGtZp6zC9gd5vzBOtPQ,20250711-025525,original
